AtomicNumber,AtomicSymbol,Element,AtomTup,OrbitalGroup,Protons,Neutrons,GroupNumber,Period,SlotNumber,SlotP,SlotN,SlotOrien,AlphaType,SlotX,SlotY,SlotZ,CanBind,SlotLayout,SL1,SL2,SL3,SL4
175,10,Ne,neon,"(' 10 neon Ne ', 10)",[He],10,10,18,2,5,0,0,H,2,0,0,0,N,,- 18,| 2,- 16,
176,10,Ne,neon,"(' 10 neon Ne ', 10)",[He],10,10,18,2,6,0,0,V,0,0,0,0,N,- 10,| 6,- 1,| 7,- 12
177,10,Ne,neon,"(' 10 neon Ne ', 10)",[He],10,10,18,2,7,0,0,V,0,0,0,0,N,,- 17,| 3,- 19,
178,10,Ne,neon,"(' 10 neon Ne ', 10)",[He],10,10,18,2,8,0,0,V,0,0,0,0,N,- 11,| 8,- 5,,
179,10,Ne,neon,"(' 10 neon Ne ', 10)",[He],10,10,18,2,9,0,0,V,0,0,0,0,N,,,,,
180,10,Ne,neon,"(' 10 neon Ne ', 10)",[He],10,10,18,2,10,0,0,H,0,0,0,0,N,,,| 15,,
181,10,Ne,neon,"(' 10 neon Ne ', 10)",[He],10,10,18,2,11,0,0,H,0,0,0,0,N,,,,,
182,10,Ne,neon,"(' 10 neon Ne ', 10)",[He],10,10,18,2,12,0,0,H,0,0,0,0,N,,,,,
183,10,Ne,neon,"(' 10 neon Ne ', 10)",[He],10,10,18,2,13,0,0,H,0,0,0,0,N,,,,,
184,10,Ne,neon,"(' 10 neon Ne ', 10)",[He],10,10,18,2,14,0,0,V,0,0,0,0,N,,,,,
185,10,Ne,neon,"(' 10 neon Ne ', 10)",[He],10,10,18,2,15,0,0,V,0,0,0,0,N,,,,,
186,10,Ne,neon,"(' 10 neon Ne ', 10)",[He],10,10,18,2,16,0,0,H,0,0,0,0,N,,,,,
187,10,Ne,neon,"(' 10 neon Ne ', 10)",[He],10,10,18,2,17,0,0,H,0,0,0,0,N,,,,,
188,10,Ne,neon,"(' 10 neon Ne ', 10)",[He],10,10,18,2,18,0,0,H,0,0,0,0,N,,,,,
